"","ryear","rname","ryear2","uf","vyear","vname","uf","rcropf"
"86","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19922000","AC","19922000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1992_2000.shp","AC","./output1/mun_rasters2/AC_1992_2000"
"87","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19971999","MT","19971999","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1997_1999.shp","MT","./output1/mun_rasters2/MT_1997_1999"
"88","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19972000","AP","19972000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1997_2000.shp","AP","./output1/mun_rasters2/AP_1997_2000"
"89","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19972000","RO","19972000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1997_2000.shp","RO","./output1/mun_rasters2/RO_1997_2000"
"90","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19972000","RR","19972000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1997_2000.shp","RR","./output1/mun_rasters2/RR_1997_2000"
"91","1997","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1997.tif","19972000","TO","19972000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1997_2000.shp","TO","./output1/mun_rasters2/TO_1997_2000"
"92","1998","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1998.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"93","1998","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1998.tif","19922000","AC","19922000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1992_2000.shp","AC","./output1/mun_rasters2/AC_1992_2000"
"94","1998","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1998.tif","19971999","MT","19971999","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1997_1999.shp","MT","./output1/mun_rasters2/MT_1997_1999"
"95","1998","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1998.tif","19972000","AP","19972000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1997_2000.shp","AP","./output1/mun_rasters2/AP_1997_2000"
